date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:24:36	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:35%20GMT	https://francokees94.wixsite.com/6daaad8b.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/6daaad8b.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:36	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:36%20GMT	https://francokees94.wixsite.com/bf91693c.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/bf91693c.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:36	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:36%20GMT	https://francokees94.wixsite.com/b4ae8803.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/b4ae8803.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:37	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:36%20GMT	https://francokees94.wixsite.com/62ccedec.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/62ccedec.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:37	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:36%20GMT	https://francokees94.wixsite.com/ae08c227.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/ae08c227.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:37	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:37%20GMT	https://francokees94.wixsite.com/11f27093.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/11f27093.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:37	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:37%20GMT	https://francokees94.wixsite.com/9b155e90.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/9b155e90.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:38	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:37%20GMT	https://francokees94.wixsite.com/4ec2545d.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/4ec2545d.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:38	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:38%20GMT	https://francokees94.wixsite.com/1bbe301d.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/1bbe301d.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:38	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:38%20GMT	https://francokees94.wixsite.com/e78a13b3.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/e78a13b3.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:39	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:38%20GMT	https://francokees94.wixsite.com/b604fd33.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/b604fd33.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:39	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:38%20GMT	https://francokees94.wixsite.com/48c6d58d.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/48c6d58d.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:39	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:39%20GMT	https://francokees94.wixsite.com/439c90c8.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/439c90c8.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:39	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:39%20GMT	https://francokees94.wixsite.com/cd69f57c.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/cd69f57c.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:40	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:39%20GMT	https://francokees94.wixsite.com/bc223d50.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/bc223d50.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:40	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:40%20GMT	https://francokees94.wixsite.com/bc2466c0.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/bc2466c0.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:40	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:40%20GMT	https://francokees94.wixsite.com/5d7b6bbf.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/5d7b6bbf.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:40%20GMT	https://francokees94.wixsite.com/3fdab364.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/3fdab364.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:41%20GMT	https://francokees94.wixsite.com/20d93486.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/20d93486.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:41%20GMT	https://francokees94.wixsite.com/9692b4a8.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/9692b4a8.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:41%20GMT	https://francokees94.wixsite.com/914012ea.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/914012ea.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:42	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:41%20GMT	https://francokees94.wixsite.com/ffa0eb8f.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/ffa0eb8f.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:42	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:42%20GMT	https://francokees94.wixsite.com/fe8be6d6.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/fe8be6d6.min.css	(from https://francokees94.wixsite.com/portfolio)
00:24:42	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Dec%202021%2003:24:42%20GMT	https://francokees94.wixsite.com/a28cca36.min.css	C:/Users/etzio/Desktop/website/Portfolio/francokees94.wixsite.com/a28cca36.min.css	(from https://francokees94.wixsite.com/portfolio)
